132;"3b";"SAL";"AM";"K26";4;6;;
133;"9a";"SAL";"AM";"K11";1;2;;
133;"9a";"SAL";"AM";"K11";2;8;;
133;"9a";"SAL";"AM";"K11";3;3;;
133;"9a";"SAL";"AM";"K11";4;3;;
134;"9b";"SAL";"AM";"K12";1;5;;
134;"9b";"SAL";"AM";"K12";2;4;;
134;"9b";"SAL";"AM";"K12";3;5;;
134;"9b";"SAL";"AM";"K12";5;1;;
135;"8a";"CEG";"Bio";"NWL";3;1;;
135;"8a";"CEG";"Bio";"NWL";3;2;;
136;"8b";"CEG";"Bio";"NWL";5;1;;
136;"8b";"CEG";"Bio";"NWL";5;2;;
137;"9a";"CEG";"Bio";"NWL";2;5;;
139;"8a";"CEG";"BCH";"NWL";5;6;;
140;"8b";"CEG";"BCH";"K04";4;8;;
141;"9a";"CEG";"BCH";"K11";3;10;;
142;"9b";"CEG";"BCH";"NWL";1;2;;
143;"2a";"CEG";"ACOL";"NWL";1;1;;
143;"2a";"CEG";"ACOL";"NWL";5;5;;
144;"2b";"CEG";"ACOL";"NWL";3;4;;
144;"2b";"CEG";"ACOL";"K22";4;9;;
146;"2bx";"KAF";"SYT";"HLAB";1;5;;
146;"2bx";"KAF";"SYT";"HLAB";1;6;;
146;"2bx";"KAF";"SYT";"HLAB";3;5;;
146;"2bx";"KAF";"SYT";"HLAB";3;6;;
147;"2by";"KAF";"SYT";"HLAB";1;9;;
147;"2by";"KAF";"SYT";"HLAB";1;10;;
147;"2by";"KAF";"SYT";"HLAB";2;2;;
147;"2by";"KAF";"SYT";"HLAB";2;3;;
148;"4ax";"NUF";"ITP2";"S-LAB";1;8;;
148;"4ax";"NUF";"ITP2";"S-LAB";1;9;;
148;"4ax";"NUF";"ITP2";"S-LAB";1;10;;
150;"9a";"KAF";"SYT";"K11";3;8;;
150;"9a";"KAF";"SYT";"K11";5;1;;
151;"9b";"KAF";"SYT";"K12";1;8;;
151;"9b";"KAF";"SYT";"K12";5;2;;
154;"3a";"BUB";"NWTK";"K27";4;2;;
154;"3a";"BUB";"NWTK";"K27";5;1;;
155;"3ax";"BUB";"NWTK";"S-LAB";1;5;;
155;"3ax";"BUB";"NWTK";"S-LAB";3;3;;
155;"3ax";"BUB";"NWTK";"S-LAB";3;4;;
156;"3ay";"BUB";"NWTK";"S-LAB";1;3;;
156;"3ay";"BUB";"NWTK";"S-LAB";1;4;;
156;"3ay";"BUB";"NWTK";"CLAB";2;8;;
157;"3b";"SHI";"NWTK";"K26";2;8;;
157;"3b";"SHI";"NWTK";"K26";4;2;;
158;"3bx";"SHI";"NWTK";"CLAB";1;6;;
158;"3bx";"SHI";"NWTK";"CLAB";3;1;;
158;"3bx";"SHI";"NWTK";"CLAB";3;2;;
159;"3by";"SHI";"NWTK";"CLAB";1;5;;
159;"3by";"SHI";"NWTK";"CLAB";2;3;;
159;"3by";"SHI";"NWTK";"CLAB";2;4;;
160;"2ax";"STD";"SYT";"HLAB";3;3;;
160;"2ax";"STD";"SYT";"HLAB";3;4;;
161;"SUP";"ALB";"SU";;2;3;;
161;"SUP";"ALB";"SU";;2;5;;
162;"SUP";"CEG";"SU";;5;3;;
162;"SUP";"CEG";"SU";;5;4;;
163;"5a";"ALB";"QM2";"K24";3;8;;
165;"2b";"NUF";"NWTK";"K22";2;1;;
165;"2b";"NUF";"NWTK";"K22";4;3;;
166;"2a";"BUB";"NWTK";"K28";4;1;;
166;"2a";"BUB";"NWTK";"K28";5;4;;
170;"4ax";"NUF";"NTSI";"S-LAB";3;1;;
170;"4ax";"NUF";"NTSI";"S-LAB";3;2;;
172;"4ax";"SCC";"INSY";"PR2";4;3;;
174;"3b";"PLE";"SEW";"K26";5;4;;
175;"3bx";"PLE";"SEW";"PR3";5;1;;
175;"3bx";"PLE";"SEW";"PR3";5;2;;
176;"3by";"PLE";"SEW";"PR2";3;1;;
176;"3by";"PLE";"SEW";"PR2";3;2;;
177;"2bx";"ALB";"ITP2";"HW1";5;3;;
177;"2bx";"ALB";"ITP2";"HW1";5;4;;
182;"3ax";"OFF";"ITP2";"PR2";1;6;;
184;"SUP";"SUB";"SU";;2;2;;
184;"SUP";"SUB";"SU";;5;1;;
185;"9a";"SHB";"K";"K11";3;2;;
186;"9b";"SHB";"K";"K12";4;10;;
